"","wyniki","terminarz","kraj","liga","liga_nr"
"1","https://www.flashscore.pl/pilka-nozna/swiat/https://www.flashscore.pl/pilka-nozna/swiat/mistrzostwa-swiata/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/swiat/https://www.flashscore.pl/pilka-nozna/swiat/mistrzostwa-swiata/wyniki//mecze","swiat","mistrzostwa-swiata","1"
"2","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/euro/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/euro/wyniki//mecze","europa","euro","1"
"3","https://www.flashscore.pl/pilka-nozna/swiat/https://www.flashscore.pl/pilka-nozna/swiat/mecze-towarzyskie/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/swiat/https://www.flashscore.pl/pilka-nozna/swiat/mecze-towarzyskie/wyniki//mecze","swiat","mecze-towarzyskie","1"
"4","https://www.flashscore.pl/pilka-nozna/swiat/https://www.flashscore.pl/pilka-nozna/swiat/miedzyklubowe-towarzyskie/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/swiat/https://www.flashscore.pl/pilka-nozna/swiat/miedzyklubowe-towarzyskie/wyniki//mecze","swiat","miedzyklubowe-towarzyskie","1"
"5","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/liga-narodow-uefa/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/liga-narodow-uefa/wyniki//mecze","europa","liga-narodow-uefa","1"
"6","https://www.flashscore.pl/pilka-nozna/afryka/https://www.flashscore.pl/pilka-nozna/afryka/puchar-narodow-afryki/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/afryka/https://www.flashscore.pl/pilka-nozna/afryka/puchar-narodow-afryki/wyniki//mecze","afryka","puchar-narodow-afryki","1"
"7","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/liga-europejska/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/liga-europejska/wyniki//mecze","europa","liga-europejska","1"
"8","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/liga-mistrzow/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/liga-mistrzow/wyniki//mecze","europa","liga-mistrzow","1"
"9","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/liga-konferencji-europy/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/europa/https://www.flashscore.pl/pilka-nozna/europa/liga-konferencji-europy/wyniki//mecze","europa","liga-konferencji-europy","1"
"10","https://www.flashscore.pl/pilka-nozna/afryka/https://www.flashscore.pl/pilka-nozna/afryka/caf-puchar-konfederacji/wyniki//wyniki","https://www.flashscore.pl/pilka-nozna/afryka/https://www.flashscore.pl/pilka-nozna/afryka/caf-puchar-konfederacji/wyniki//mecze","afryka","caf-puchar-konfederacji","1"
